Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
26,Minions,1159444662,336045770,0.29,823398892,0.71,2015
78,Spectre,880705312,200074609,0.23,680630703,0.77,2015
87,Inside Out,858848019,356921711,0.42,501926308,0.58,2015
150,Mission: Impossible - Rogue Nation,682716636,195042377,0.29,487674259,0.71,2015
157,The Hunger Games: Mockingjay - Part 2,661456563,281723902,0.43,379732661,0.57,2015
168,The Martian,630620818,228433663,0.36,402187155,0.64,2015
195,Fifty Shades of Grey,569651467,166167230,0.29,403484237,0.71,2015
213,Cinderella,542358331,201151353,0.37,341206978,0.63,2015
219,The Revenant,532950503,183637894,0.35,349312609,0.66,2015
233,Ant-Man,519311965,180202163,0.35,339109802,0.65,2015
261,Hotel Transylvania 2,475186706,169700110,0.36,305486596,0.64,2015
264,San Andreas,474609154,155190832,0.33,319418322,0.67,2015
300,Terminator Genisys,440603537,89760956,0.20,350842581,0.80,2015
326,Kingsman: The Secret Service,414351546,128261724,0.31,286089822,0.69,2015
363,Monster Hunt,387053506,32766,<0.1%,387020740,1.00,2015
364,Home,386041607,177397510,0.46,208644097,0.54,2015
376,Mad Max: Fury Road,380418444,154280290,0.41,226138154,0.59,2015
474,The Good Dinosaur,332207671,123087120,0.37,209120551,0.63,2015
486,Taken 3,326479141,89256424,0.27,237222717,0.73,2015
489,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,0.50,162192000,0.50,2015
514,Maze Runner: The Scorch Trials,312296056,81697192,0.26,230598864,0.74,2015
554,The Divergent Series: Insurgent,297002527,130179072,0.44,166823455,0.56,2015
579,Pitch Perfect 2,287144079,184296230,0.64,102847849,0.36,2015
640,Mojin: The Lost Legend,259368448,1243810,0.01,258124638,1.00,2015
648,Lost in Hong Kong,256283912,1302281,0.01,254981631,1.00,2015
683,The Peanuts Movie,246233113,130178411,0.53,116054702,0.47,2015
693,Pixels,244874809,78747585,0.32,166127224,0.68,2015
702,Daddy's Home,242786137,150357137,0.62,92429000,0.38,2015
726,Spy,235666219,110825712,0.47,124840507,0.53,2015
730,Alvin and the Chipmunks: The Road Chip,234798636,85886987,0.37,148911649,0.63,2015
749,Goodbye Mr. Loser,228122928,1293626,0.01,226829302,0.99,2015
28,Captain America: Civil War,1155046416,408084349,0.35,746962067,0.65,2016
42,Rogue One: A Star Wars Story,1058682142,533539991,0.50,525142151,0.50,2016
46,Finding Dory,1029266989,486295561,0.47,542971428,0.53,2016
49,Zootopia,1025521689,341268248,0.33,684253441,0.67,2016
58,The Jungle Book,967724775,364001123,0.38,603723652,0.62,2016
76,The Secret Life of Pets,894328469,368384330,0.41,525944139,0.59,2016
81,Batman v Superman: Dawn of Justice,874362803,330360194,0.38,544002609,0.62,2016
98,Fantastic Beasts and Where to Find Them,816037575,234037575,0.29,582000000,0.71,2016
111,Deadpool,782836791,363070709,0.46,419766082,0.54,2016
124,Suicide Squad,749200054,325100054,0.43,424100000,0.57,2016
148,Moana,687228908,248757044,0.36,438471864,0.64,2016
152,Doctor Strange,677796076,232641920,0.34,445154156,0.66,2016
165,Sing,634338384,270578425,0.43,363759959,0.57,2016
203,The Mermaid,553810228,3232685,0.01,550577543,0.99,2016
210,X-Men: Apocalypse,543934105,155442489,0.29,388491616,0.71,2016
231,Kung Fu Panda 3,521170825,143528619,0.28,377642206,0.73,2016
267,La La Land,471989295,151101803,0.32,320887492,0.68,2016
302,Warcraft,439048914,47365290,0.11,391683624,0.89,2016
324,Jason Bourne,415484914,162434410,0.39,253050504,0.61,2016
333,Ice Age: Collision Course,408754975,64063008,0.16,344691967,0.84,2016
360,Independence Day: Resurgence,389681935,103144286,0.27,286537649,0.74,2016
373,Your Name.,382238181,5017246,0.01,377220935,0.99,2016
423,The Legend of Tarzan,357243061,126643061,0.35,230600000,0.65,2016
433,The Angry Birds Movie,352333929,107509366,0.31,244824563,0.70,2016
449,Trolls,347188778,154025064,0.44,193163714,0.56,2016
453,Star Trek Beyond,343471816,158848340,0.46,184623476,0.54,2016
466,The Great Wall,334933831,45540830,0.14,289393001,0.86,2016
467,Now You See Me 2,334897606,65075540,0.19,269822066,0.81,2016
490,The Conjuring 2,322811541,102516140,0.32,220295401,0.68,2016
515,Resident Evil: The Final Chapter,312242626,26830068,0.09,285412558,0.91,2016
533,Dangal,303723636,12391761,0.04,291331875,0.96,2016
534,Passengers,303144152,100014699,0.33,203129453,0.67,2016
548,Alice Through the Looking Glass,299820798,77041381,0.26,222779417,0.74,2016
558,Miss Peregrine's Home for Peculiar Children,296482446,87242834,0.29,209239612,0.71,2016
652,Get Out,255745157,176196665,0.69,79548492,0.31,2016
687,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,0.33,163572247,0.67,2016
697,Sully,243870033,125070033,0.51,118800000,0.49,2016
706,Assassin's Creed,240697856,54647948,0.23,186049908,0.77,2016
723,Hidden Figures,235956898,169607287,0.72,66349611,0.28,2016
747,Ghostbusters,229147509,128350574,0.56,100796935,0.44,2016
784,Inferno,220021259,34343574,0.16,185677685,0.84,2016
799,Central Intelligence,216940871,127440871,0.59,89500000,0.41,2016
19,Star Wars: Episode VIII - The Last Jedi,1334407706,620181382,0.47,714226324,0.54,2017
22,Beauty and the Beast,1266115964,504481165,0.40,761634799,0.60,2017
24,The Fate of the Furious,1236005118,226008385,0.18,1009996733,0.82,2017
45,Despicable Me 3,1034800131,264624300,0.26,770175831,0.74,2017
54,Jumanji: Welcome to the Jungle,995339117,404540171,0.41,590798946,0.59,2017
79,Spider-Man: Homecoming,880166924,334201140,0.38,545965784,0.62,2017
82,Wolf Warrior 2,870325439,2721100,0.00,867604339,1.00,2017
85,Guardians of the Galaxy Vol. 2,863756051,389813101,0.45,473942950,0.55,2017
89,Thor: Ragnarok,855301806,315058289,0.37,540243517,0.63,2017
95,Wonder Woman,823970682,412845172,0.50,411125510,0.50,2017
99,Coco,814337054,210460015,0.26,603877039,0.74,2017
103,Pirates of the Caribbean: Dead Men Tell No Tales,795922298,172558876,0.22,623363422,0.78,2017
141,It,704242551,328874981,0.47,375367570,0.53,2017
158,Justice League,661326987,229024295,0.35,432302692,0.65,2017
176,Logan,619179950,226277068,0.37,392902882,0.64,2017
182,Transformers: The Last Knight,605425157,130168683,0.22,475256474,0.79,2017
197,Kong: Skull Island,568652812,168052812,0.30,400600000,0.70,2017
223,The Boss Baby,527965936,175003033,0.33,352962903,0.67,2017
224,Dunkirk,527816307,189740665,0.36,338075642,0.64,2017
247,War for the Planet of the Apes,490719763,146880162,0.30,343839601,0.70,2017
304,The Greatest Showman,438550306,174340174,0.40,264210132,0.60,2017
331,Kingsman: The Golden Circle,410902662,100234838,0.24,310667824,0.76,2017
332,The Mummy,409231607,80227895,0.20,329003712,0.80,2017
370,Cars 3,383930656,152901115,0.40,231029541,0.60,2017
374,Fifty Shades Darker,381545846,114581250,0.30,266964596,0.70,2017
431,Murder on the Orient Express,352794081,102826543,0.29,249967538,0.71,2017
450,xXx: Return of Xander Cage,346118277,44898413,0.13,301219864,0.87,2017
468,Never Say Die,334530869,-,-,334530869,1.00,2017
507,Wonder,315025930,132422809,0.42,182603121,0.58,2017
513,The Lego Batman Movie,312336671,175936671,0.56,136400000,0.44,2017
522,The Ex-File 3: Return of the Exes,307592427,838959,0.00,306753468,1.00,2017
528,Annabelle: Creation,306592201,102092201,0.33,204500000,0.67,2017
560,Ferdinand,296069199,84410380,0.29,211658819,0.72,2017
589,Split,278454417,138291365,0.50,140163052,0.50,2017
617,Blade Runner 2049,267685209,92071675,0.34,175613534,0.66,2017
644,Kung Fu Yoga,257753889,362657,0.00,257391232,1.00,2017
655,Baahubali 2: The Conclusion,254158390,20186659,0.08,233971731,0.92,2017
679,Journey to the West: The Demons Strike Back,247585244,880346,0.00,246704898,1.00,2017
705,Alien: Covenant,240891763,74262031,0.31,166629732,0.69,2017
750,Paddington 2,227994792,40907738,0.18,187087054,0.82,2017
756,Youth,227091290,1891956,0.01,225199334,0.99,2017
757,Baby Driver,226945087,107825862,0.48,119119225,0.53,2017
763,Valerian and the City of a Thousand Planets,225973340,41189488,0.18,184783852,0.82,2017
778,Geostorm,221900160,33700160,0.15,188200000,0.85,2017
795,The Emoji Movie,217776646,86089513,0.40,131687133,0.61,2017
6,Avengers: Infinity War,2052415039,678815482,0.33,1373599557,0.67,2018
17,Black Panther,1349926083,700426566,0.52,649499517,0.48,2018
21,Jurassic World: Fallen Kingdom,1310466296,417719760,0.32,892746536,0.68,2018
23,Incredibles 2,1243225667,608581744,0.49,634643923,0.51,2018
29,Aquaman,1152028393,335104314,0.29,816924079,0.71,2018
71,Bohemian Rhapsody,910809311,216668042,0.24,694141269,0.76,2018
88,Venom,856085151,213515506,0.25,642569645,0.75,2018
105,Mission: Impossible - Fallout,791657398,220159104,0.28,571498294,0.72,2018
110,Deadpool 2,785896609,324591735,0.41,461304874,0.59,2018
160,Fantastic Beasts: The Crimes of Grindelwald,655755901,159555901,0.24,496200000,0.76,2018
174,Ant-Man and the Wasp,622674139,216648740,0.35,406025399,0.65,2018
181,Ready Player One,607874134,137715350,0.23,470158784,0.77,2018
193,Operation Red Sea,579330426,1543547,0.00,577786879,1.00,2018
209,Detective Chinatown 2,544185156,1983984,0.00,542201172,1.00,2018
220,The Meg,529338515,145522784,0.28,383815731,0.73,2018
221,Ralph Breaks the Internet,529323962,201091711,0.38,328232251,0.62,2018
222,Hotel Transylvania 3: Summer Vacation,528583774,167510016,0.32,361073758,0.68,2018
225,The Grinch,526760632,271384731,0.52,255375901,0.49,2018
273,Bumblebee,467989645,127195589,0.27,340794056,0.73,2018
286,Dying to Survive,451183391,6752,-,451176639,1.00,2018
305,A Star Is Born,436433122,215333122,0.49,221100000,0.51,2018
311,Rampage,428128233,101028233,0.24,327100000,0.76,2018
346,Mamma Mia! Here We Go Again,402264843,120634935,0.30,281629908,0.70,2018
356,Solo: A Star Wars Story,392924807,213767512,0.54,179157295,0.46,2018
368,Spider-Man: Into the Spider-Verse,384298736,190241310,0.50,194057426,0.51,2018
391,Fifty Shades Freed,371985018,100407760,0.27,271577258,0.73,2018
402,Hello Mr. Billionaire,366961907,-,-,366961907,1.00,2018
404,The Nun,366082797,117481222,0.32,248601575,0.68,2018
414,Monster Hunt 2,361682618,706153,0.00,360976465,1.00,2018
439,Peter Rabbit,351496066,115253424,0.33,236242642,0.67,2018
442,Mary Poppins Returns,349546142,171958438,0.49,177587704,0.51,2018
457,A Quiet Place,340952971,188024361,0.55,152928610,0.45,2018
493,Green Book,321752656,85080171,0.26,236672485,0.74,2018
530,Skyscraper,304868961,68420120,0.22,236448841,0.78,2018
552,Ocean's Eight,297795726,140295726,0.47,157500000,0.53,2018
568,Pacific Rim: Uprising,290930148,59874525,0.21,231055623,0.79,2018
576,Maze Runner: The Death Cure,288175335,58032443,0.20,230142892,0.80,2018
597,Tomb Raider,274950803,58250803,0.21,216700000,0.79,2018
639,Halloween,259939835,159342015,0.61,100597820,0.39,2018
713,Crazy Rich Asians,239343729,174837452,0.73,64506277,0.27,2018
794,Smallfoot,218015531,83315531,0.38,134700000,0.62,2018
2,Avengers: Endgame,2799439100,858373000,0.31,1941066100,0.69,2019
9,The Lion King,1663075401,543638043,0.33,1119437358,0.67,2019
13,Frozen II,1453683476,477373578,0.33,976309898,0.67,2019
31,Spider-Man: Far from Home,1131927996,390532085,0.35,741395911,0.66,2019
32,Captain Marvel,1131416446,426829839,0.38,704586607,0.62,2019
37,Joker,1078958282,335477657,0.31,743480625,0.69,2019
38,Star Wars: Episode IX - The Rise of Skywalker,1077022372,515202542,0.48,561819830,0.52,2019
39,Toy Story 4,1073841394,434038008,0.40,639803386,0.60,2019
43,Aladdin,1054304000,355559216,0.34,698744784,0.66,2019
102,Jumanji: The Next Level,801693929,320314960,0.40,481378969,0.60,2019
118,Fast & Furious Presents: Hobbs & Shaw,760732926,173956935,0.23,586775991,0.77,2019
132,Ne Zha,726264074,3695533,0.01,722568541,1.00,2019
142,The Wandering Earth,699992512,5971413,0.01,694021099,0.99,2019
227,How to Train Your Dragon: The Hidden World,524580592,160945505,0.31,363635087,0.69,2019
246,Maleficent: Mistress of Evil,491730089,113929605,0.23,377800484,0.77,2019
266,It Chapter Two,473122525,211622525,0.45,261500000,0.55,2019
288,My People  My Country,450064993,2356683,0.01,447708310,1.00,2019
289,Pokémon: Detective Pikachu,450062638,144174568,0.32,305888070,0.68,2019
309,The Secret Life of Pets 2,431058604,158874395,0.37,272184209,0.63,2019
321,The Captain,417282021,706572,0.00,416575449,1.00,2019
342,Alita: Battle Angel,404980543,85838210,0.21,319142333,0.79,2019
362,Godzilla: King of the Monsters,387300138,110500138,0.29,276800000,0.72,2019
366,1917,384579472,159227644,0.41,225351828,0.59,2019
381,Once Upon a Time in Hollywood,377617598,142502728,0.38,235114870,0.62,2019
401,Shazam!,367799011,140480049,0.38,227318962,0.62,2019
428,Dumbo,353284621,114766307,0.33,238518314,0.68,2019
481,John Wick: Chapter 3 - Parabellum,328349387,171015687,0.52,157333700,0.48,2019
483,Crazy Alien,327598891,-,-,327598891,1.00,2019
512,Knives Out,312897920,165363234,0.53,147534686,0.47,2019
630,Parasite,262716511,53369749,0.20,209346762,0.80,2019
636,Terminator: Dark Fate,261119292,62253077,0.24,198866215,0.76,2019
650,Us,256067149,175084580,0.68,80982569,0.32,2019
651,Pegasus,255863112,-,-,255863112,1.00,2019
657,Men in Black: International,253890701,80001807,0.32,173888894,0.69,2019
661,Dark Phoenix,252442974,65845974,0.26,186597000,0.74,2019
681,Glass,246999039,111048468,0.45,135950571,0.55,2019
690,The Bravest,245179562,290217,0.00,244889345,1.00,2019
741,Annabelle Comes Home,231252591,74152591,0.32,157100000,0.68,2019
765,Better Days,225918798,1921657,0.01,223997141,0.99,2019
766,Ford v Ferrari,225508210,117624357,0.52,107883853,0.48,2019
789,Little Women,218843645,108101214,0.49,110742431,0.51,2019
278,The Eight Hundred,461421559,372755,<0.1%,461048804,1.00,2020
285,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,453210959,49505008,0.11,403705951,0.89,2020
314,Bad Boys for Life,426505244,206305244,0.48,220200000,0.52,2020
318,My People  My Homeland,422390820,-,-,422390820,1.00,2020
406,Tenet,365304105,58504105,0.16,306800000,0.84,2020
500,Sonic the Hedgehog,319715683,148974665,0.47,170741018,0.53,2020
663,Dolittle,251410631,77047065,0.31,174363566,0.69,2020
708,Legend of Deification,240646355,214670,<0.1%,240431685,1.00,2020
7,Spider-Man: No Way Home,1921847111,814115070,0.42,1107732041,0.58,2021
72,The Battle at Lake Changjin,902548476,342411,<0.1%,902206065,1.00,2021
96,Hi  Mom,822009764,-,-,822009764,1.00,2021
113,No Time to Die,774153007,160891007,0.21,613262000,0.79,2021
133,F9: The Fast Saga,726229501,173005945,0.24,553223556,0.76,2021
149,Detective Chinatown 3,686257563,-,-,686257563,1.00,2021
234,Venom: Let There Be Carnage,506863592,213550366,0.42,293313226,0.58,2021
269,Godzilla vs. Kong,470116094,100916094,0.22,369200000,0.79,2021
307,Shang-Chi and the Legend of the Ten Rings,432243292,224543292,0.52,207700000,0.48,2021
335,Sing 2,408402367,162790990,0.40,245611377,0.60,2021
347,Eternals,402064899,164870234,0.41,237194665,0.59,2021
348,Dune,402027830,108327830,0.27,293700000,0.73,2021
377,Black Widow,379751655,183651655,0.48,196100000,0.52,2021
475,Free Guy,331526598,121626598,0.37,209900000,0.63,2021
553,A Quiet Place Part II,297372261,160072261,0.54,137300000,0.46,2021
646,Encanto,256786742,96093622,0.37,160693120,0.63,2021
732,Cruella,233503234,86103234,0.37,147400000,0.63,2021
779,My Country  My Parents,221831086,177133,<0.1%,221653953,1.00,2021
781,Jungle Cruise,220889446,116987516,0.53,103901930,0.47,2021
3,Avatar: The Way of Water,2320250281,684075767,0.30,1636174514,0.71,2022
12,Top Gun: Maverick,1495696292,718732821,0.48,776963471,0.52,2022
53,Jurassic World Dominion,1001978080,376851080,0.38,625127000,0.62,2022
62,Doctor Strange in the Multiverse of Madness,955775804,411331607,0.43,544444197,0.57,2022
66,Minions: The Rise of Gru,939628210,369695210,0.39,569933000,0.61,2022
86,Black Panther: Wakanda Forever,859208836,453829060,0.53,405379776,0.47,2022
116,The Batman,772245583,369345583,0.48,402900000,0.52,2022
117,Thor: Love and Thunder,760928081,343256830,0.45,417671251,0.55,2022
170,Water Gate Bridge,626571697,117294,<0.1%,626454403,1.00,2022
257,Puss in Boots: The Last Wish,481080099,185535345,0.39,295544754,0.61,2022
280,Moon Man,460237662,-,-,460237662,1.00,2022
338,Fantastic Beasts: The Secrets of Dumbledore,407150844,95850844,0.24,311300000,0.77,2022
339,Uncharted,407141258,148648820,0.37,258492438,0.64,2022
341,Sonic the Hedgehog 2,405421518,190872904,0.47,214548614,0.53,2022
355,Black Adam,393252111,168152111,0.43,225100000,0.57,2022
574,Elvis,288670284,151040048,0.52,137630236,0.48,2022
672,The Bad Guys,250162278,97233630,0.39,152928648,0.61,2022
714,Bullet Train,239268602,103368602,0.43,135900000,0.57,2022
761,Lightyear,226425420,118307188,0.52,108118232,0.48,2022
796,Smile,217408513,105935048,0.49,111473465,0.51,2022
797,Too Cool to Kill,217254604,185882,<0.1%,217068722,1.00,2022
14,Barbie,1441769400,636169400,0.44,805600000,0.56,2023
16,The Super Mario Bros. Movie,1361888017,574934330,0.42,786953687,0.58,2023
63,Oppenheimer,950245530,325366530,0.34,624879000,0.66,2023
91,Guardians of the Galaxy Vol. 3,845555777,358995815,0.43,486559962,0.58,2023
140,Fast X,704709660,145960660,0.21,558749000,0.79,2023
147,Spider-Man: Across the Spider-Verse,690516673,381311319,0.55,309205354,0.45,2023
196,The Little Mermaid,569626289,298172056,0.52,271454233,0.48,2023
198,Mission: Impossible - Dead Reckoning Part One,567535383,172135383,0.30,395400000,0.70,2023
241,Elemental,495851987,154426697,0.31,341425290,0.69,2023
260,Ant-Man and the Wasp: Quantumania,476071180,214504909,0.45,261566271,0.55,2023
301,John Wick: Chapter 4,440146694,187131806,0.43,253014888,0.58,2023
303,Transformers: Rise of the Beasts,438966392,157066392,0.36,281900000,0.64,2023
353,Meg 2: The Trench,395000317,82600317,0.21,312400000,0.79,2023
369,Indiana Jones and the Dial of Destiny,383963057,174480468,0.45,209482589,0.55,2023
585,Five Nights at Freddy's,283107340,136209340,0.48,146898000,0.52,2023
596,Creed III,275248615,156248615,0.57,119000000,0.43,2023
608,The Flash,270633313,108133313,0.40,162500000,0.60,2023
616,The Nun II,268067073,86267073,0.32,181800000,0.68,2023
674,Taylor Swift: The Eras Tour,248956030,178265894,0.72,70690136,0.28,2023
678,Sound of Freedom,247801879,184174541,0.74,63627338,0.26,2023
